id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
402,6,4,5,5,4,5,,,,,,,wb1,"2023-11-22 23:27:53"
403,3,2,4,3,3,3,,,,,,,wb1,"2023-11-22 23:28:03"
404,1,6,3,4,4,6,,,,,,,wb1,"2023-11-22 23:28:18"
405,3,4,3,6,5,5,,,,,,,wb1,"2023-11-22 23:28:20"
406,3,3,2,1,3,5,,,,,,,wb1,"2023-11-22 23:28:22"
407,6,5,5,6,5,4,,,,,,,wb1,"2023-11-22 23:28:30"
408,4,4,2,3,4,4,,,,,,,wb1,"2023-11-22 23:28:30"
409,4,5,4,3,3,5,,,,,,,wb1,"2023-11-22 23:28:30"
410,3,2,3,3,6,5,,,,,,,wb1,"2023-11-22 23:28:31"
411,4,5,6,5,4,6,,,,,,,wb1,"2023-11-22 23:28:35"
412,4,6,3,4,4,4,,,,,,,wb1,"2023-11-22 23:28:40"
413,4,4,5,2,2,1,,,,,,,wb1,"2023-11-22 23:28:42"
414,4,5,5,3,1,4,,,,,,,wb1,"2023-11-22 23:28:43"
415,2,2,5,1,4,6,,,,,,,wb1,"2023-11-22 23:28:43"
416,3,4,6,5,6,5,,,,,,,wb1,"2023-11-22 23:28:44"
417,5,2,2,4,4,6,,,,,,,wb1,"2023-11-22 23:28:46"
418,3,6,3,4,3,6,,,,,,,wb1,"2023-11-22 23:28:47"
419,3,3,3,2,3,5,,,,,,,wb1,"2023-11-22 23:28:50"
420,4,3,4,2,5,4,,,,,,,wb1,"2023-11-22 23:28:52"
421,5,5,2,1,3,1,,,,,,,wb1,"2023-11-22 23:28:54"
422,4,4,5,6,3,5,,,,,,,wb1,"2023-11-22 23:28:55"
423,3,5,3,3,3,4,,,,,,,wb1,"2023-11-22 23:28:55"
424,4,4,5,5,5,6,,,,,,,wb1,"2023-11-22 23:29:11"
425,6,3,0,5,4,5,,,,,,,wb1,"2023-11-22 23:29:16"
426,4,5,4,4,4,5,,,,,,,wb1,"2023-11-22 23:29:18"
427,3,6,6,5,3,3,,,,,,,wb1,"2023-11-22 23:29:29"
428,4,5,5,3,2,5,,,,,,,wb1,"2023-11-22 23:29:35"
429,0,0,2,3,5,6,,,,,,,wb1,"2023-11-22 23:29:38"
430,0,0,3,4,5,0,,,,,,,wb1,"2023-11-22 23:29:46"
431,4,5,3,4,3,5,,,,,,,wb1,"2023-11-22 23:29:54"
432,3,3,2,4,4,5,,,,,,,wb1,"2023-11-22 23:30:05"
433,3,4,3,2,6,5,,,,,,,wb1,"2023-11-22 23:31:31"
434,5,5,5,5,4,3,,,,,,,wb1,"2023-11-22 23:47:23"
435,3,3,2,4,4,5,,,,,,,wb1,"2023-11-23 00:23:57"
436,5,5,5,5,4,3,,,,,,,wb1,"2023-11-23 09:43:53"
437,4,4,2,3,4,4,,,,,,,wb1,"2023-11-23 11:34:34"
438,4,4,5,6,3,5,,,,,,,wb1,"2023-11-23 12:34:06"
439,4,4,5,6,3,5,,,,,,,wb1,"2023-11-23 16:31:48"
440,4,4,5,6,3,5,,,,,,,wb1,"2023-11-23 19:06:01"
441,4,2,4,2,3,6,,,,,,,wb1,"2023-11-23 19:12:01"
442,4,3,6,1,3,6,,,,,,,wb1,"2023-11-23 19:12:46"
443,0,6,0,6,0,6,,,,,,,wb1,"2023-11-23 19:13:06"
444,3,4,4,3,4,6,,,,,,,wb1,"2023-11-23 19:14:19"
445,3,4,6,1,2,6,,,,,,,wb1,"2023-11-23 19:14:22"
446,5,5,4,3,4,6,,,,,,,wb1,"2023-11-23 19:15:12"
447,4,4,4,5,4,2,,,,,,,wb2,"2023-11-23 19:21:42"
448,5,5,4,4,6,3,,,,,,,wb2,"2023-11-23 19:21:56"
449,4,5,6,6,6,6,,,,,,,wb2,"2023-11-23 19:21:57"
450,3,5,6,5,4,2,,,,,,,wb2,"2023-11-23 19:21:57"
451,3,6,6,4,5,6,,,,,,,wb2,"2023-11-23 19:22:04"
452,5,3,5,5,5,1,,,,,,,wb2,"2023-11-23 19:22:08"
453,3,5,2,4,4,3,,,,,,,wb2,"2023-11-23 19:22:09"
454,4,5,4,5,3,4,,,,,,,wb2,"2023-11-23 19:22:18"
455,1,5,4,4,6,5,,,,,,,wb2,"2023-11-23 19:22:22"
456,6,4,6,6,6,5,,,,,,,wb2,"2023-11-23 19:22:25"
457,5,5,4,5,5,4,,,,,,,wb2,"2023-11-23 19:22:34"
458,6,4,5,5,4,6,,,,,,,wb2,"2023-11-23 19:22:36"
459,4,6,3,4,6,6,,,,,,,wb2,"2023-11-23 19:22:36"
460,6,4,6,3,3,6,,,,,,,wb2,"2023-11-23 19:22:39"
461,6,6,6,5,5,6,,,,,,,wb2,"2023-11-23 19:22:48"
462,6,4,4,3,6,6,,,,,,,wb2,"2023-11-23 19:22:48"
463,4,4,3,6,5,4,,,,,,,wb2,"2023-11-23 19:22:51"
464,6,6,6,3,5,4,,,,,,,wb2,"2023-11-23 19:22:56"
465,5,5,4,3,5,6,,,,,,,wb1,"2023-11-23 19:23:01"
466,5,3,1,2,5,4,,,,,,,wb2,"2023-11-23 19:23:04"
467,1,4,3,2,2,6,,,,,,,wb2,"2023-11-23 19:23:04"
468,3,5,3,6,6,6,,,,,,,wb2,"2023-11-23 19:23:04"
469,5,5,6,4,3,2,,,,,,,wb2,"2023-11-23 19:23:05"
470,6,6,6,6,5,3,,,,,,,wb2,"2023-11-23 19:23:14"
471,5,5,5,4,5,6,,,,,,,wb2,"2023-11-23 19:23:14"
472,2,4,4,3,4,6,,,,,,,wb2,"2023-11-23 19:23:17"
473,2,4,3,3,4,5,,,,,,,wb2,"2023-11-23 19:23:24"
474,6,5,5,3,6,4,,,,,,,wb2,"2023-11-23 19:23:29"
475,5,2,5,4,4,3,,,,,,,wb2,"2023-11-23 19:23:35"
476,3,5,4,4,5,3,,,,,,,wb2,"2023-11-23 19:23:36"
477,6,6,6,6,6,6,,,,,,,wb2,"2023-11-23 19:23:36"
478,5,5,6,6,4,6,,,,,,,wb2,"2023-11-23 19:23:39"
479,3,0,6,0,0,3,,,,,,,wb2,"2023-11-23 19:23:48"
480,5,6,3,3,3,3,,,,,,,wb2,"2023-11-23 19:24:02"
481,5,2,5,4,4,3,,,,,,,wb2,"2023-11-23 19:24:17"
482,4,6,4,5,3,5,,,,,,,wb2,"2023-11-23 19:24:20"
